"","location","date","co_8hr","no2_one_hour_max","o3_eight_hour_max","pm10_24","pm25_24","psi_24","psi_three_hourly","so2_24"
"1375","south","2017-10-27",0.760434782608696,39.0434782608696,20.8260869565217,41.5217391304348,28.6086956521739,69.695652173913,NA,20.7391304347826
"1376","south","2017-10-28",0.66,20.3478260869565,37.8260869565217,27.7391304347826,18,57.6521739130435,NA,13.6086956521739
"1377","south","2017-10-29",0.726086956521739,29.0434782608696,28.695652173913,24.3913043478261,14.9130434782609,54.1739130434783,NA,9.08695652173913
"1378","south","2017-10-30",0.776086956521739,21.9565217391304,19.2608695652174,20.304347826087,10.3913043478261,43.304347826087,NA,9.60869565217391
"1379","south","2017-10-31",0.840434782608696,25.1304347826087,21.6086956521739,22.1304347826087,11.5652173913043,44.1739130434783,NA,8.8695652173913
"1380","south","2017-11-01",0.756086956521739,29.6086956521739,31.1304347826087,35.9130434782609,23,63.3478260869565,NA,9.04347826086956
"1381","south","2017-11-02",0.601304347826087,33.7391304347826,20.3913043478261,29.0434782608696,17.6521739130435,57.2608695652174,NA,23.7391304347826
"1382","south","2017-11-03",0.418695652173913,24.695652173913,17.695652173913,26.5217391304348,15.1739130434783,53.5652173913044,NA,31
"1383","south","2017-11-04",0.588695652173913,24.0434782608696,24.8260869565217,27.7826086956522,15.6521739130435,54.9565217391304,NA,23.8695652173913
"1384","south","2017-11-05",0.520869565217391,11.1304347826087,28.3478260869565,21.5652173913043,11.3478260869565,45.1739130434783,NA,14.4347826086957
"1385","south","2017-11-06",0.622608695652174,34.304347826087,18.0869565217391,25.0434782608696,12.7826086956522,48.0869565217391,NA,17.3478260869565
"1386","south","2017-11-07",0.840434782608696,36.1304347826087,17.1739130434783,33.4782608695652,18.2608695652174,58.1304347826087,NA,12.8260869565217
"1387","south","2017-11-08",0.595217391304348,14.2173913043478,31.0869565217391,28.304347826087,14.9565217391304,51.2173913043478,NA,12.2608695652174
"1388","south","2017-11-09",0.676086956521739,21.5652173913043,39.5217391304348,21.304347826087,11.7391304347826,48.2608695652174,NA,5.95652173913043
"1389","south","2017-11-10",0.745652173913044,27.1739130434783,19.695652173913,19.5217391304348,9.56521739130435,39.6521739130435,NA,6.78260869565217
"1390","south","2017-11-11",0.832608695652174,37.1304347826087,11.9565217391304,24.5652173913043,13.3478260869565,50.2173913043478,NA,19.6521739130435
"1391","south","2017-11-12",0.681739130434783,19.5652173913043,17.6521739130435,24.8695652173913,13.4782608695652,50,NA,27.2608695652174
"1392","south","2017-11-13",0.632173913043478,32.7826086956522,24.7826086956522,23.8260869565217,11.7391304347826,44.0434782608696,NA,21.6086956521739
"1393","south","2017-11-14",0.566086956521739,18.0869565217391,12.0434782608696,23.9565217391304,13.0869565217391,47.2173913043478,NA,16.8695652173913
"1394","south","2017-11-15",0.696086956521739,32.5217391304348,16.6086956521739,24.0869565217391,12.2173913043478,46.6521739130435,NA,13.2608695652174
"1395","south","2017-11-16",0.7175,29.8333333333333,24.5,37,22.8333333333333,63.0833333333333,NA,10.9166666666667
"1396","south","2017-11-17",0.599130434782609,19.1739130434783,13.1304347826087,25.4347826086957,14.9130434782609,54.304347826087,NA,13.4347826086957
"1397","south","2017-11-18",0.674347826086957,25.6086956521739,30.8260869565217,24.6086956521739,15.1739130434783,54.4347826086956,NA,14.9130434782609
"1398","south","2017-11-19",0.636086956521739,26.3913043478261,27.5217391304348,23.3478260869565,12.0869565217391,48.695652173913,NA,12.8260869565217
"1399","south","2017-11-20",0.894782608695652,34.304347826087,22.0869565217391,27.5217391304348,15.2608695652174,54.4782608695652,NA,13.2173913043478
"1400","south","2017-11-21",1.04478260869565,29.4782608695652,11.9130434782609,29.4347826086957,16.7826086956522,56.2608695652174,NA,8.65217391304348
"1401","south","2017-11-22",0.864347826086956,20.3478260869565,11.9130434782609,31.8695652173913,16.4782608695652,55.8260869565217,NA,5.17391304347826
"1402","south","2017-11-23",0.75695652173913,15.0434782608696,11.0869565217391,22.3478260869565,9.56521739130435,39.7826086956522,NA,4.34782608695652
"1403","south","2017-11-24",0.686521739130435,16.5652173913043,10.7826086956522,17.695652173913,5.95652173913043,25.0869565217391,NA,17.695652173913
"1404","south","2017-11-25",0.751304347826087,24.2608695652174,10.2173913043478,19.0869565217391,8.08695652173913,33.4347826086956,NA,10.3913043478261
"1405","south","2017-11-26",0.750869565217391,12.2173913043478,9.56521739130435,20.3478260869565,8.26086956521739,33.9565217391304,NA,6.47826086956522
"1406","south","2017-11-27",0.746086956521739,22.9565217391304,9.1304347826087,15.8695652173913,6.91304347826087,29,NA,6.69565217391304
"1407","south","2017-11-28",0.692608695652174,23.1304347826087,8.82608695652174,15.7826086956522,7.60869565217391,31.2608695652174,NA,5.65217391304348
"1408","south","2017-11-29",0.62,12.1739130434783,9.08695652173913,17.5652173913043,7.69565217391304,31.5217391304348,NA,5.1304347826087
